timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1634881119179,1460,HomePage,500,Internal Server Error,Thread Group 1-19,text,false,,895,113,20,20,https://lifecharger.org/,1456,0,573
1634881119670,1195,HomePage,500,Internal Server Error,Thread Group 1-20,text,false,,895,113,20,20,https://lifecharger.org/,1195,0,628
1634881120641,1201,AboutPage,500,Internal Server Error,Thread Group 1-19,text,false,,895,119,20,20,https://lifecharger.org/about/,1201,0,560
1634881120866,1113,AboutPage,500,Internal Server Error,Thread Group 1-20,text,false,,895,119,20,20,https://lifecharger.org/about/,1113,0,569
1634881121980,1230,ArchivesPage,500,Internal Server Error,Thread Group 1-20,text,false,,895,122,20,20,https://lifecharger.org/archives/,1230,0,560
1634881121843,1682,ArchivesPage,500,Internal Server Error,Thread Group 1-19,text,false,,895,122,19,19,https://lifecharger.org/archives/,1682,0,1156
1634881110249,41757,HomePage,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 41,757 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,18,18,https://lifecharger.org/,40779,0,4262
1634881114170,38811,HomePage,200,OK,Thread Group 1-9,text,false,"The operation lasted too long: It took 38,811 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,18,18,https://lifecharger.org/,37838,0,1064
1634881114670,40212,HomePage,200,OK,Thread Group 1-10,text,false,"The operation lasted too long: It took 40,212 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,18,18,https://lifecharger.org/,39315,0,1673
1634881117170,39841,HomePage,200,OK,Thread Group 1-15,text,false,"The operation lasted too long: It took 39,841 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,18,18,https://lifecharger.org/,38816,0,695
1634881115670,43315,HomePage,200,OK,Thread Group 1-12,text,false,"The operation lasted too long: It took 43,315 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,18,18,https://lifecharger.org/,41343,0,888
1634881118684,40316,HomePage,200,OK,Thread Group 1-18,text,false,"The operation lasted too long: It took 40,316 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,18,18,https://lifecharger.org/,39337,0,588
1634881113673,46595,HomePage,200,OK,Thread Group 1-8,text,false,"The operation lasted too long: It took 46,595 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,18,18,https://lifecharger.org/,45605,0,3389
1634881117679,42890,HomePage,200,OK,Thread Group 1-16,text,false,"The operation lasted too long: It took 42,890 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48386,113,18,18,https://lifecharger.org/,42322,0,692
1634881116170,45343,HomePage,200,OK,Thread Group 1-13,text,false,"The operation lasted too long: It took 45,343 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,18,18,https://lifecharger.org/,44803,0,725
1634881115169,47815,HomePage,200,OK,Thread Group 1-11,text,false,"The operation lasted too long: It took 47,815 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,18,18,https://lifecharger.org/,46813,0,811
1634881162985,528,AboutPage,500,Internal Server Error,Thread Group 1-11,text,false,,895,479,18,18,https://lifecharger.org/about/,528,0,0
1634881111683,52322,HomePage,200,OK,Thread Group 1-4,text,false,"The operation lasted too long: It took 52,322 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,18,18,https://lifecharger.org/,51274,0,2829
1634881164008,581,AboutPage,500,Internal Server Error,Thread Group 1-4,text,false,,895,479,18,18,https://lifecharger.org/about/,580,0,0
1634881163514,1450,ArchivesPage,500,Internal Server Error,Thread Group 1-11,text,false,,895,482,18,18,https://lifecharger.org/archives/,1450,0,547
1634881110676,54689,HomePage,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 54,689 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,17,17,https://lifecharger.org/,53603,0,9074
1634881164589,1292,ArchivesPage,500,Internal Server Error,Thread Group 1-4,text,false,,895,482,17,17,https://lifecharger.org/archives/,1292,0,786
1634881165365,540,AboutPage,500,Internal Server Error,Thread Group 1-2,text,false,,895,479,16,16,https://lifecharger.org/about/,540,0,0
1634881118172,47854,HomePage,200,OK,Thread Group 1-17,text,false,"The operation lasted too long: It took 47,854 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,16,16,https://lifecharger.org/,46813,0,591
1634881165905,1153,ArchivesPage,500,Internal Server Error,Thread Group 1-2,text,false,,895,482,16,16,https://lifecharger.org/archives/,1153,0,556
1634881112675,57598,HomePage,200,OK,Thread Group 1-6,text,false,"The operation lasted too long: It took 57,598 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,15,15,https://lifecharger.org/,56697,0,7075
1634881170275,584,AboutPage,500,Internal Server Error,Thread Group 1-6,text,false,,895,479,15,15,https://lifecharger.org/about/,584,0,0
1634881170861,1076,ArchivesPage,500,Internal Server Error,Thread Group 1-6,text,false,,895,482,15,15,https://lifecharger.org/archives/,1076,0,569
1634881111175,60917,HomePage,200,OK,Thread Group 1-3,text,false,"The operation lasted too long: It took 60,917 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,14,14,https://lifecharger.org/,60075,0,8544
1634881172093,1153,AboutPage,500,Internal Server Error,Thread Group 1-3,text,false,,895,479,14,14,https://lifecharger.org/about/,1153,0,593
1634881113174,62178,HomePage,200,OK,Thread Group 1-7,text,false,"The operation lasted too long: It took 62,178 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,14,14,https://lifecharger.org/,61091,0,5701
1634881175353,1121,AboutPage,500,Internal Server Error,Thread Group 1-7,text,false,,895,479,14,14,https://lifecharger.org/about/,1120,0,569
1634881176474,1075,ArchivesPage,500,Internal Server Error,Thread Group 1-7,text,false,,895,482,14,14,https://lifecharger.org/archives/,1074,0,580
1634881116672,62332,HomePage,200,OK,Thread Group 1-14,text,false,"The operation lasted too long: It took 62,332 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,13,13,https://lifecharger.org/,60324,0,739
1634881112176,68080,HomePage,200,OK,Thread Group 1-5,text,false,"The operation lasted too long: It took 68,080 milliseconds, but should not have lasted longer than 10,000 milliseconds.",48381,113,13,13,https://lifecharger.org/,67117,0,7561
1634881152015,49166,AboutPage,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 49,166 milliseconds, but should not have lasted longer than 10,000 milliseconds.",35165,479,13,13,https://lifecharger.org/about/,49154,0,0
1634881158986,44005,AboutPage,200,OK,Thread Group 1-12,text,false,"The operation lasted too long: It took 44,005 milliseconds, but should not have lasted longer than 10,000 milliseconds.",35165,479,13,13,https://lifecharger.org/about/,43999,0,0
1634881154883,49714,AboutPage,200,OK,Thread Group 1-10,text,false,"The operation lasted too long: It took 49,714 milliseconds, but should not have lasted longer than 10,000 milliseconds.",35159,479,13,13,https://lifecharger.org/about/,49166,0,0
1634881166027,39951,AboutPage,200,OK,Thread Group 1-17,text,false,"The operation lasted too long: It took 39,951 milliseconds, but should not have lasted longer than 10,000 milliseconds.",35159,479,13,13,https://lifecharger.org/about/,38967,0,0
